ID,KUNDE_ID,VARE_ID,KJØNN,FARGE,STØRRELSE
1000290,8107049836,68,F,,XS
1000291,13066821298,13,F,,XL
1000292,10105014045,125,F,,XL
1000293,9016618850,18,F,,XS
1000294,20114820076,96,F,,XL
1000295,24125328160,107,M,,L
1000296,30036549854,88,F,,XXL
1000297,29034620421,40,M,,42
1000298,19075019974,99,F,,L
1000299,23053723527,116,M,,XS
1000300,62126000001,88,F,,L
1000301,10100387072,63,F,,S
1000302,30116822004,14,F,,52
1000303,10117000279,67,F,,XXL
1000304,27024821108,4,F,,L
1000305,27024821108,48,F,,L
1000306,10106600185,44,F,,M
1000307,10047122177,33,M,,40
1000308,24125328160,20,M,,43
1000309,31056549873,31,M,,38
1000310,10103022989,102,M,,XS
1000311,10117500182,109,F,,80E
1000312,10100387072,4,F,,S
1000313,19087221558,117,F,,S
1000314,5107219368,145,M,,S
1000315,3057621213,45,F,,48
1000316,23115627058,17,M,,M
1000317,19075019974,45,F,,46
1000318,8068691851,112,M,,XL
1000319,30054420680,65,F,,XXL
1000320,18055113781,134,M,,52
1000321,27088220361,147,F,,44
1000322,24125328160,154,M,,50
1000323,6073910828,59,F,,S
1000324,10117500182,46,F,,48
1000325,10106011430,128,M,,48
1000326,31128424531,39,M,,37
1000327,30047721179,80,M,,L
1000328,25043817909,89,M,,S
1000329,10108600050,88,M,,XS
1000330,17013827222,85,M,,M
1000331,9047819765,150,F,,54
1000332,23053723527,44,M,,XS
1000333,30054420680,19,F,,XXL
1000334,30075423140,92,M,,S
1000335,10105500055,131,M,,XS
1000336,3108549954,54,F,,XL
1000337,23077517375,134,M,,52
1000338,10103022989,92,M,,XS
1000339,23097749981,53,F,,XS
1000340,10100682058,102,F,,XXL
1000341,11106421406,74,F,,XXL
1000342,8068691851,119,M,,48
1000343,19087221558,114,F,,S
1000344,10076649893,88,M,,XXL
1000345,21094649908,143,F,,46
1000346,29034620421,20,M,,42
1000347,10117000279,75,F,,XXL
1000348,30047721179,152,M,,50
1000349,10105014045,39,F,,36
1000350,30036549854,70,F,,XXL
1000351,27024821108,118,F,,L
1000352,10105500136,70,M,,XXL
1000353,10104300257,14,F,,46
1000354,10117000279,70,F,,XXL
1000355,10100387072,92,F,,S
1000356,10104300257,56,F,,XL
1000357,10106600185,107,F,,M
1000358,9056718246,118,M,,XXL
1000359,13126021067,144,F,,L
1000360,10107000017,115,F,,XXL
1000361,23097749981,134,F,,46
1000362,7077349841,137,F,,OneSize
1000363,11117319646,133,F,,52
1000364,13108521370,17,M,,M
1000365,25015121141,108,F,,75D
1000366,11106421406,94,F,,XXL
1000367,3028711300,91,F,,L
1000368,13057919803,135,F,,44
1000369,10106000250,112,F,,XS
1000370,7077349841,116,F,,M
1000371,17013827222,147,M,,50
1000372,10104000032,5,F,,L
1000373,6073910828,15,F,,S
1000374,22084419684,122,M,,44
1000375,22084419684,63,M,,XL
1000376,13126021067,117,F,,L
1000377,15115720764,132,M,,XS
1000378,15115720764,26,M,,43
1000379,30047721179,30,M,,36
1000380,22084419684,157,M,,44
1000381,21094649908,62,F,,XXL
1000382,10108000045,134,F,,44
1000383,13057919803,115,F,,L
1000384,10105000141,55,M,,50
1000385,10108000045,139,F,,M
1000386,10108000045,89,F,,M
1000387,23097749981,117,F,,XS
1000388,13057919803,146,F,,L
1000389,26037821062,103,F,,75E
1000390,6073910828,141,F,,44
1000391,27128922488,45,F,,46
1000392,16086520005,99,M,,XL
1000393,10103022989,89,M,,XS
1000394,10100682058,138,F,,XXL
1000395,13057919803,157,F,,44
1000396,5087949879,27,F,,46
1000397,10076649893,98,M,,XXL
1000398,26069219488,108,M,,75C
1000399,16015522805,58,M,,XS
1000400,30036549854,138,F,,XXL
1000401,21094649908,78,F,,XXL
1000402,10105000060,105,M,,M
1000403,10076649893,96,M,,XXL
1000404,8068691851,49,M,,48
1000405,24036417648,8,F,,XL
1000406,16015522805,50,M,,48
1000407,7077349841,98,F,,M
1000408,10105500136,65,M,,XXL
1000409,23097121664,146,M,,XXL
1000410,22084419684,18,M,,XL
1000411,20114820076,152,F,,44
1000412,23077517375,122,M,,52
1000413,5037527132,148,F,,46
1000414,19087221558,100,F,,S
1000415,10105014045,8,F,,XL
1000416,27024821108,42,F,,L
1000417,23045612120,62,M,,XL
1000418,27128922488,112,F,,XXL
1000419,13066821298,68,F,,XL
1000420,24014021406,97,F,,XL
1000421,10106000099,20,F,,45
1000422,30047721179,6,M,,L
1000423,20114820076,31,F,,45
1000424,27024821108,58,F,,L
1000425,13119900462,142,F,,54
1000426,24125328160,60,M,,L
1000427,10104000032,51,F,,L
1000428,11117319646,17,F,,M
1000429,7077349841,66,F,,M
1000430,10105000141,68,M,,XS
1000431,10105000141,7,M,,XS
1000432,25076919219,78,M,,L
1000433,23097749981,130,F,,XS
1000434,22084419684,15,M,,XL
1000435,23045612120,14,M,,52
1000436,10105500136,15,M,,XXL
1000437,10105500055,123,M,,50
1000438,26037821062,93,F,,XL
1000439,30116822004,45,F,,52
1000440,6047749997,56,M,,L
1000441,9016618850,122,F,,54
1000442,10108000045,46,F,,44
1000443,17013827222,12,M,,M
1000444,10104000032,59,F,,L
1000445,10106500083,33,F,,38
1000446,29027619523,50,M,,48
1000447,10103022989,16,M,,XS
1000448,25076919219,94,M,,L
1000449,18055113781,130,M,,XS
1000450,5037527132,47,F,,XL
1000451,10106000099,114,F,,M
1000452,5087949879,104,F,,XL
1000453,26037821062,35,F,,45
1000454,10114000294,156,M,,46
1000455,25043817909,108,M,,75C
1000456,29098318664,28,F,,41
1000457,22017519488,70,F,,XXL
1000458,5087949879,18,F,,XL
1000459,18018020862,29,F,,39
1000460,17054512066,127,F,,52
1000461,10105014045,45,F,,48
1000462,26037821062,72,F,,XL
1000463,26037821062,71,F,,XL
1000464,23077517375,81,M,,S
1000465,13126021067,87,F,,L
1000466,31128424531,21,M,,37
1000467,10108000045,25,F,,42
1000468,8107049836,115,F,,XS
1000469,15115720764,67,M,,XS
1000470,11117319646,75,F,,M
1000471,10114000294,47,M,,L
1000472,2030146134,68,M,,M
1000473,10100085009,20,M,,43
1000474,18055113781,6,M,,XS
1000475,7077349841,83,F,,M
1000476,6047749997,39,M,,38
1000477,10104300257,126,F,,46
1000478,25076919219,40,M,,45
1000479,10105000060,54,M,,M
1000480,20114820076,103,F,,70B
1000481,10103000004,129,M,,L
1000482,10106011430,67,M,,XXL
1000483,62126000001,89,F,,L
1000484,5037527132,148,F,,46
1000485,10105500055,45,M,,50
1000486,17065349957,152,M,,44
1000487,10108000045,7,F,,M
1000488,10103022989,95,M,,XS
1000489,27128922488,32,F,,42
1000490,30047721179,17,M,,L
1000491,19075019974,72,F,,L
1000492,10106600185,136,F,,54
1000493,8068691851,107,M,,XL
1000494,23034218595,20,F,,38
1000495,13066821298,135,F,,48
1000496,50094803435,58,M,,XS
1000497,23077517375,73,M,,S
1000498,17054512066,18,F,,L
1000499,19087221558,99,F,,S
1000500,9047819765,80,F,,M
1000501,10105000141,51,M,,XS
1000502,1097118821,135,M,,48
1000503,1097118821,92,M,,L
1000504,30075423140,37,M,,40
1000505,3057621213,138,F,,L
1000506,23053723527,75,M,,XS
1000507,10108000045,4,F,,M
1000508,13057919803,153,F,,44
1000509,10103000004,75,M,,L
1000510,10114000294,115,M,,L
1000511,7077349841,72,F,,M
1000512,3028711300,71,F,,L
1000513,8107049836,146,F,,XS
1000514,31128424531,111,M,,XS
1000515,30116822004,35,F,,36
1000516,31056549873,152,M,,54
1000517,30036549854,152,F,,50
1000518,13057919803,25,F,,39
1000519,27128922488,112,F,,XXL
1000520,7077349841,69,F,,M
1000521,13066821298,94,F,,XL
1000522,10117500182,138,F,,XXL
1000523,31074120485,97,F,,XS
1000524,13116311229,104,M,,XXL
1000525,26037821062,102,F,,XL
1000526,25043817909,119,M,,50
1000527,21094649908,4,F,,XXL
1000528,27024821108,158,F,,50
1000529,31056549873,111,M,,L
1000530,23053723527,4,M,,XS
1000531,13057919803,123,F,,44
1000532,26069219488,87,M,,XL
1000533,13108521370,87,M,,M
1000534,24125328160,68,M,,L
1000535,17065349957,93,M,,M
1000536,29034620421,115,M,,XS
1000537,50094803435,64,M,,XS
1000538,10108000045,4,F,,M
1000539,22078120022,39,M,,37
1000540,10106600185,58,F,,M
1000541,11106421406,110,F,,XXL
1000542,10106011430,95,M,,XXL
1000543,10114000294,145,M,,L
1000544,13066821298,4,F,,XL
1000545,10103022989,86,M,,XS
1000546,3057621213,77,F,,L
1000547,10105000060,143,M,,50
1000548,27088220361,150,F,,44
1000549,6073910828,80,F,,S
1000550,10105014045,40,F,,36
1000551,1127523203,109,F,,75D
1000552,19087221558,44,F,,S
1000553,9047819765,109,F,,80E
1000554,8107049836,75,F,,XS
1000555,10105014045,51,F,,XL
1000556,9016618850,71,F,,XS
1000557,10105000141,124,M,,XS
1000558,13116311229,94,M,,XXL
1000559,10100387072,54,F,,S
1000560,8068691851,75,M,,XL
1000561,10103000004,59,M,,L
1000562,4108249779,83,M,,S
1000563,16086520005,25,M,,46
1000564,16015522805,57,M,,XS
1000565,17127419167,62,M,,S
1000566,31074120485,12,F,,XS
1000567,17127419167,134,M,,50
1000568,25043817909,139,M,,S
1000569,2030146134,45,M,,48
1000570,24125328160,134,M,,50
1000571,10047122177,97,M,,S
1000572,5087949879,114,F,,XL
1000573,29027619523,90,M,,XS
1000574,62126000001,130,F,,L
1000575,5087949879,49,F,,48
1000576,9016618850,113,F,,XS
1000577,23097121664,35,M,,40
1000578,27128922488,111,F,,XXL
1000579,20114820076,150,F,,44
1000580,29034620421,4,M,,XS
1000581,10103022989,87,M,,XS
1000582,25076919219,137,M,,OneSize
1000583,7077349841,58,F,,M
1000584,31074120485,146,F,,XS
1000585,8068691851,92,M,,XL
1000586,30116822004,40,F,,36
1000587,15115720764,70,M,,XS
1000588,62126000001,53,F,,L
1000589,31128424531,134,M,,48
1000590,10076649893,48,M,,XXL
1000591,10105014045,41,F,,XL
1000592,10105500136,107,M,,XXL
1000593,10106011430,76,M,,XXL
1000594,1097118821,157,M,,48
1000595,25043817909,93,M,,S
1000596,26069219488,59,M,,XL
1000597,30047721179,49,M,,50
1000598,10105000060,64,M,,M
1000599,25076919219,44,M,,L
1000600,5107219368,107,M,,S
1000601,10106500083,137,F,,OneSize
1000602,50094803435,61,M,,XS
1000603,10100682058,18,F,,XXL
1000604,9047819765,153,F,,54
1000605,27024821108,71,F,,L
1000606,10117500182,67,F,,XXL
1000607,10047122177,118,M,,S
1000608,8107049836,78,F,,XS
1000609,23045612120,47,M,,XL
1000610,23115627058,106,M,,M
1000611,6047749997,36,M,,38
1000612,5037527132,97,F,,XL
1000613,10105500055,54,M,,XS
1000614,13126021067,72,F,,L
1000615,27107021960,5,F,,XS
1000616,10108000045,19,F,,M
1000617,10117500182,71,F,,XXL
1000618,23045612120,54,M,,XL
1000619,50094803435,17,M,,XS
1000620,3057621213,34,F,,38
1000621,5055520269,39,F,,44
1000622,17013827222,21,M,,35
1000623,10106000099,87,F,,M
1000624,3108549954,86,F,,XL
1000625,13066819501,94,M,,M
1000626,1127523203,59,F,,XS
1000627,10106011430,104,M,,XXL
1000628,24014021406,65,F,,XL
1000629,10103000004,102,M,,L
1000630,17054512066,9,F,,L
1000631,26037821062,63,F,,XL
1000632,10047122177,65,M,,S
1000633,11117319646,154,F,,52
1000634,3057621213,114,F,,L
1000635,23077517375,143,M,,52
1000636,16086520005,63,M,,XL
1000637,6073910828,96,F,,S
1000638,23053723527,47,M,,XS
1000639,10106000250,15,F,,XS
1000640,20114820076,22,F,,45
1000641,10103022989,13,M,,XS
1000642,10103022989,65,M,,XS
1000643,13066819501,60,M,,M
1000644,23077517375,93,M,,S
1000645,5087949879,71,F,,XL
1000646,13108521370,111,M,,M
1000647,23026421306,134,M,,54
1000648,30075423140,148,M,,54
1000649,8107049836,29,F,,36
1000650,21094649908,97,F,,XXL
1000651,8107049836,32,F,,36
1000652,15016319888,135,M,,48
1000653,9047819765,20,F,,41
1000654,23053723527,107,M,,XS
1000655,23097121664,2,M,,XXL
1000656,23115627058,83,M,,M
1000657,19087221558,91,F,,S
1000658,13066821298,155,F,,48
1000659,27128922488,112,F,,XXL
1000660,10100387072,99,F,,S
1000661,10100682058,64,F,,XXL
1000662,9047819765,147,F,,54
1000663,9047819765,111,F,,M
1000664,23097121664,60,M,,XXL
1000665,18018020862,121,F,,54
1000666,23045612120,2,M,,XL
1000667,23097121664,111,M,,XXL
1000668,10106600185,10,F,,M
1000669,10103000004,149,M,,48
1000670,25015121141,55,F,,46
1000671,10107000017,148,F,,54
1000672,26069219488,70,M,,XL
1000673,10103000004,21,M,,43
1000674,10076649893,5,M,,XXL
1000675,23026421306,14,M,,54
1000676,19075019974,84,F,,L
1000677,13108521370,134,M,,52
1000678,62126000001,117,F,,L
1000679,17065349957,142,M,,44
1000680,11117319646,20,F,,35
1000681,10107000017,128,F,,54
1000682,20114820076,117,F,,XL
1000683,10047122177,19,M,,S
1000684,6073910828,97,F,,S
1000685,3028711300,43,F,,L
1000686,18055113781,7,M,,XS
1000687,11106421406,78,F,,XXL
1000688,14077421433,130,M,,S
1000689,4108249779,135,M,,46
1000690,10108000045,44,F,,M
1000691,10076649893,57,M,,XXL
1000692,10103000004,125,M,,L
1000693,27088220361,27,F,,35
1000694,26037821062,71,F,,XL
1000695,19087221558,64,F,,S
1000696,10107000017,109,F,,75C
1000697,50094803435,49,M,,50
1000698,10114000294,46,M,,46
1000699,14077421433,84,M,,S
1000700,29027619523,68,M,,XS
1000701,29027619523,144,M,,XS
1000702,19075019974,64,F,,L
1000703,10108600050,144,M,,XS
1000704,13108521370,20,M,,38
1000705,9056718246,125,M,,XXL
1000706,19087221558,107,F,,S
1000707,10108600050,22,M,,44
1000708,17065349957,63,M,,M
1000709,10107000017,151,F,,54
1000710,13066819501,12,M,,M
1000711,22084419684,110,M,,XL
1000712,27107021960,105,F,,XS
1000713,10106000099,21,F,,45
1000714,25015121141,92,F,,L
1000715,4108249779,125,M,,S
1000716,16086520005,97,M,,XL
1000717,13066821298,23,F,,45
1000718,17065349957,151,M,,44
1000719,10106500083,130,F,,XS
1000720,62126000001,56,F,,L
1000721,26037821062,52,F,,48
1000722,25015121141,58,F,,L
1000723,16086520005,93,M,,XL
1000724,25015121141,102,F,,L
1000725,5037527132,45,F,,46
1000726,30054420680,156,F,,46
1000727,13126021067,2,F,,L
1000728,22084419684,64,M,,XL
1000729,8068691851,87,M,,XL
1000730,5055520269,122,F,,50
1000731,13116311229,41,M,,XXL
1000732,10104300257,67,F,,XL
1000733,30116822004,52,F,,52
1000734,10106500083,110,F,,XS
1000735,27128922488,153,F,,46
1000736,10103000004,137,M,,OneSize
1000737,10117000279,28,F,,43
1000738,13066821298,22,F,,45
1000739,13057919803,119,F,,44
1000740,1127523203,76,F,,XS
1000741,23097121664,17,M,,XXL
1000742,10105000060,53,M,,M
1000743,23026421306,67,M,,S
1000744,11117319646,102,F,,M
1000745,27128922488,30,F,,42
1000746,9016618850,15,F,,XS
1000747,25043817909,90,M,,S
1000748,30047721179,124,M,,L
1000749,10107000017,20,F,,40
1000750,10106500083,155,F,,52
1000751,5037527132,22,F,,45
1000752,16086520005,77,M,,XL
1000753,31128424531,6,M,,XS
1000754,25043817909,23,M,,43
1000755,8107049836,20,F,,36
1000756,15016319888,156,M,,48
1000757,5107219368,14,M,,46
1000758,22078120022,88,M,,M
1000759,10100682058,29,F,,35
1000760,17054512066,117,F,,L
1000761,6047749997,25,M,,38
1000762,30054420680,119,F,,46
1000763,11106421406,111,F,,XXL
1000764,11117319646,13,F,,M
1000765,24036417648,106,F,,XL
1000766,3108549954,123,F,,50
1000767,14077421433,50,M,,46
1000768,18096221319,39,F,,39
1000769,16015522805,10,M,,XS
1000770,20114820076,84,F,,XL
1000771,29034620421,69,M,,XS
1000772,19087221558,99,F,,S
1000773,13066819501,135,M,,46
1000774,18096221319,145,F,,M
1000775,62126000001,112,F,,L
1000776,18096221319,129,F,,M
1000777,10106000099,103,F,,75C
1000778,19075019974,144,F,,L
1000779,10107000017,81,F,,XXL
1000780,9056718246,91,M,,XXL
1000781,5087949879,96,F,,XL
1000782,9056718246,117,M,,XXL
1000783,30047721179,110,M,,L
1000784,31074120485,109,F,,80E
1000785,29027619523,138,M,,XS
1000786,3057621213,7,F,,L
1000787,17013827222,71,M,,M
1000788,10047122177,65,M,,S
1000789,18096221319,51,F,,M
1000790,31056549873,46,M,,54
1000791,18018020862,33,F,,39
1000792,10107000017,86,F,,XXL
1000793,22017519488,96,F,,XXL
1000794,18096221319,122,F,,52
1000795,9016618850,4,F,,XS
1000796,27024821108,98,F,,L
1000797,13116311229,69,M,,XXL
1000798,18055113781,41,M,,XS
1000799,1097118821,150,M,,48
1000800,10100387072,37,F,,44
1000801,8068691851,144,M,,XL
1000802,10103000004,75,M,,L
1000803,13108521370,44,M,,M
1000804,14077421433,90,M,,S
1000805,10100682058,110,F,,XXL
1000806,6047749997,20,M,,38
1000807,10105500055,126,M,,50
1000808,23115627058,67,M,,M
1000809,3057621213,57,F,,L
1000810,30054420680,34,F,,46
1000811,13116311229,12,M,,XXL
1000812,19075019974,98,F,,L
1000813,10117000279,52,F,,44
1000814,17054512066,147,F,,52
1000815,62126000001,70,F,,L
1000816,23053723527,23,M,,39
1000817,9016618850,4,F,,XS
1000818,17013827222,91,M,,M
1000819,23053723527,51,M,,XS
1000820,26069219488,113,M,,XL
1000821,10106600185,33,F,,41
1000822,10105500055,79,M,,XS
1000823,10103000004,31,M,,43
1000824,29027619523,33,M,,38
1000825,10108000045,143,F,,44
1000826,27128922488,110,F,,XXL
1000827,22017519488,44,F,,XXL
1000828,4108249779,32,M,,41
1000829,5087949879,40,F,,46
1000830,3108549954,11,F,,XL
1000831,22017519488,65,F,,XXL
1000832,17065349957,94,M,,M
1000833,25043817909,98,M,,S
1000834,10100682058,125,F,,XXL
1000835,22078120022,15,M,,M
1000836,10076649893,48,M,,XXL
1000837,15115720764,139,M,,XS
1000838,31128424531,133,M,,48
1000839,17127419167,137,M,,OneSize
1000840,26037821062,106,F,,XL
1000841,27128922488,154,F,,46
1000842,22017519488,148,F,,48
1000843,17054512066,65,F,,L
1000844,23045612120,139,M,,XL
1000845,27128922488,74,F,,XXL
1000846,25076919219,10,M,,L
1000847,10047122177,11,M,,S
1000848,10114000294,94,M,,L
1000849,11117319646,23,F,,35
1000850,19075019974,50,F,,46
1000851,26037821062,5,F,,XL
1000852,29027619523,6,M,,XS
1000853,27024821108,123,F,,50
1000854,3057621213,118,F,,L
1000855,14077421433,44,M,,S
1000856,25043817909,122,M,,50
1000857,27024821108,152,F,,50
1000858,23077517375,9,M,,S
1000859,10103022989,37,M,,35
1000860,18096221319,103,F,,70B
1000861,27107021960,15,F,,XS
1000862,30047721179,6,M,,L
1000863,10114000294,15,M,,L
1000864,10106000250,31,F,,43
1000865,50094803435,63,M,,XS
1000866,24036417648,89,F,,XL
1000867,3028711300,102,F,,L
1000868,17127419167,108,M,,80E
1000869,3028711300,155,F,,48
1000870,29027619523,2,M,,XS
1000871,10105014045,19,F,,XL
1000872,29098318664,41,F,,M
1000873,2030146134,135,M,,48
1000874,7077349841,115,F,,M
